player_name,country,team,total_rounds,kd,rating,game
ZywOo,France,Vitality,22399,1.38,1.28,CSGO
s1mple,Ukraine,Natus Vincere,37717,1.33,1.25,CSGO
deko,Russia,1WIN,5096,1.42,1.24,CSGO
saffee,Brazil,paiN,5383,1.37,1.24,CSGO
sh1ro,Russia,Gambit,19780,1.43,1.22,CSGO
m0NESY,Russia,NAVI Junior,3687,1.31,1.21,CSGO
Kaze,Malaysia,ViCi,20459,1.32,1.2,CSGO
degster,Russia,Spirit,14868,1.31,1.19,CSGO
sterling,New Zealand,AVANT,18010,1.33,1.19,CSGO
d4v41,Malaysia,BOOT,8005,1.27,1.18,CSGO
smooya,United Kingdom,BIG,19476,1.26,1.18,CSGO
cLy,Germany,3DMAX,2756,1.26,1.18,CSGO
w0nderful,Ukraine,Trasko,2851,1.29,1.18,CSGO
fxy0,France,Epsilon,4859,1.25,1.17,CSGO
MisteM,South Africa,ATK,2624,1.22,1.17,CSGO
XANTARES,Turkey,Space Soldiers,39753,1.2,1.17,CSGO
Woro2k,Ukraine,MAD Lions,3485,1.22,1.17,CSGO
Laz,Japan,SCARZ Absolute,6862,1.27,1.17,CSGO
DANK1NG,China,TYLOO,8099,1.24,1.16,CSGO
SENSEi,Ukraine,Akuma,8975,1.33,1.16,CSGO
try,Argentina,9z,4854,1.28,1.16,CSGO
coldzera,Brazil,SK,34861,1.26,1.16,CSGO
device,Denmark,Astralis,45159,1.25,1.16,CSGO
JamYoung,China,ViCi,6992,1.24,1.16,CSGO
cosmeeeN,Romania,Epsilon,8310,1.2,1.16,CSGO
Sico,New Zealand,Renegades,20947,1.3,1.16,CSGO
XigN,Korea,MVP PK,16454,1.22,1.16,CSGO
BnTeT,Indonesia,TYLOO,25236,1.24,1.16,CSGO
torzsi,Hungary,mouz NXT,8498,1.23,1.16,CSGO
blameF,Denmark,Complexity,19154,1.27,1.16,CSGO
z4kr,China,Lynn Vision,5271,1.21,1.15,CSGO
NiKo,Bosnia and Herzegovina,G2,39556,1.19,1.15,CSGO
nettik,New Zealand,Rooster,6182,1.2,1.15,CSGO
KSCERATO,Brazil,FURIA,20993,1.28,1.15,CSGO
vsm,Brazil,DETONA,11827,1.19,1.15,CSGO
XELLOW,Romania,Nexus,23961,1.18,1.14,CSGO
Benkai,Singapore,BOOT-d[S],15560,1.2,1.14,CSGO
ju1ces,Australia,Rooster,5737,1.2,1.14,CSGO
dizzyLife,Australia,Legacy,8772,1.22,1.14,CSGO
Jame,Russia,Virtus.pro,28226,1.3,1.14,CSGO
El1an,Russia,Entropiq,27968,1.23,1.14,CSGO
sk0R,Mongolia,NKT,5723,1.17,1.13,CSGO
Texta,Australia,Chiefs,15713,1.16,1.13,CSGO
zAAz,Sweden,Secret fe,5502,1.16,1.13,CSGO
oskar,Czech Republic,Sinners,35564,1.2,1.13,CSGO
mhL,Poland,AGO,9572,1.2,1.13,CSGO
woxic,Turkey,HellRaisers,23999,1.21,1.13,CSGO
dav1d,Chile,Paquetá,5942,1.16,1.13,CSGO
zevy,Brazil,Sharks,3506,1.21,1.13,CSGO
SunPayus,Spain,Movistar Riders,4244,1.21,1.13,CSGO
keiz,Brazil,Santos,3587,1.28,1.13,CSGO
fredi,Czech Republic,eSuba,5987,1.17,1.13,CSGO
mantuu,Poland,OG,16657,1.21,1.13,CSGO
kennyS,France,G2,48634,1.21,1.13,CSGO
frozen,Slovakia,mousesports,28215,1.17,1.13,CSGO
huNter-,Bosnia and Herzegovina,G2,34977,1.16,1.13,CSGO
Petra,Netherlands,XSET,2487,1.16,1.13,CSGO
erkaSt,Mongolia,Grayhound,21491,1.17,1.12,CSGO
yuurih,Brazil,FURIA,23462,1.19,1.12,CSGO
dream3r,Bulgaria,Fiend,26099,1.22,1.12,CSGO
xsepower,Russia,forZe,28504,1.25,1.12,CSGO
mattcd,Australia,Legacy,5998,1.21,1.12,CSGO
prelideN,Latvia,Latvia,2768,1.09,1.12,CSGO
Freeman,Hong Kong,ViCi,18573,1.18,1.12,CSGO
kNgV-,Brazil,MIBR,20744,1.17,1.12,CSGO
deoxiDE,Australia,Legacy,3439,1.19,1.12,CSGO
GooseBreeder,Canada,CLG Red,3830,1.18,1.12,CSGO
Calyx,Turkey,Space Soldiers,22293,1.19,1.12,CSGO
jOELZ,Finland,nerdRage,6433,1.17,1.12,CSGO
liTTle,Russia,forZe,12159,1.2,1.12,CSGO
NEOFRAG,Czech Republic,Sinners,11805,1.14,1.12,CSGO
asap,Australia,Rooster,4896,1.15,1.12,CSGO
cath,Canada,Dignitas fe,3977,1.15,1.12,CSGO
f0rsakeN,Indonesia,BOOM,2684,1.13,1.12,CSGO
Jamppi,Finland,SJ,13449,1.16,1.12,CSGO
INS,Australia,Renegades,22077,1.17,1.12,CSGO
ropz,Estonia,mousesports,26414,1.2,1.12,CSGO
wrath,United States,New Identity,13568,1.13,1.12,CSGO
chelleos,New Zealand,Rooster,12189,1.13,1.12,CSGO
GuardiaN,Slovakia,Natus Vincere,39782,1.19,1.11,CSGO
Twistzz,Canada,Liquid,32124,1.18,1.11,CSGO
f0rest,Sweden,Dignitas,49895,1.17,1.11,CSGO
CigaretteS,Thailand,Signature,5361,1.15,1.11,CSGO
Luken,Argentina,Sharks,6097,1.17,1.11,CSGO
hades,Poland,ENCE,11431,1.2,1.11,CSGO
dexter,Australia,mousesports,22253,1.16,1.11,CSGO
PTC,Thailand,Lucid Dream,12393,1.18,1.11,CSGO
Brehze,United States,Evil Geniuses,28547,1.15,1.11,CSGO
CeRq,Bulgaria,Evil Geniuses,29452,1.19,1.11,CSGO
FpSSS,Russia,GROND,2720,1.19,1.11,CSGO
ZELIN,Portugal,AlienTech,8462,1.15,1.11,CSGO
splashske,Singapore,HZ,18651,1.15,1.11,CSGO
poizon,Bulgaria,Complexity,27621,1.17,1.11,CSGO
jeyN,France,Heretics,3354,1.16,1.11,CSGO
m1tch,Australia,Corvidae,2958,1.14,1.11,CSGO
FREDDyFROG,Sweden,Apeks,31220,1.18,1.11,CSGO
ottoNd,Finland,HAVU,21635,1.19,1.11,CSGO
gxx-,Albania,BLINK,3818,1.2,1.11,CSGO
zorte,Russia,forZe,13789,1.19,1.11,CSGO
havoK,India,NASR,6247,1.14,1.11,CSGO
